team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Greater Western Sydney,2023,18,"Stone, Conor",3,7,2,4,11,3.67,0,0,0,5,1,3,0,4,1,1,0,5,9,0,0,3,0,1
Hawthorn,2023,5,"Worpel, James",23,286,52,314,600,26.09,10,9,0,92,25,118,149,97,22,39,11,285,333,2,6,19,3,8
Hawthorn,2023,3,"Newcombe, Jai",22,244,100,309,553,25.14,12,8,0,94,31,97,122,88,37,30,18,249,320,8,6,23,8,14
Hawthorn,2023,11,"Nash, Conor",23,213,60,339,552,24.0,1,5,1,110,33,76,109,75,19,27,0,212,347,1,1,32,4,11
Hawthorn,2023,12,"Day, Will",21,262,122,275,537,25.57,6,6,0,73,39,92,89,68,23,19,8,197,335,9,8,34,13,8
Hawthorn,2023,6,"Sicily, James",19,324,189,177,501,26.37,2,4,0,29,115,34,11,78,21,20,12,154,301,35,0,88,15,5
Hawthorn,2023,10,"Amon, Karl",21,326,113,160,486,23.14,9,2,0,37,75,87,24,59,9,9,2,78,399,2,4,23,7,13
Hawthorn,2023,13,"Moore, Dylan",23,254,107,226,480,20.87,17,19,0,91,19,78,31,52,32,9,1,163,328,4,13,27,5,15
Hawthorn,2023,15,"Hardwick, Blake",23,314,147,153,467,20.3,2,1,0,45,126,25,10,48,8,9,0,112,284,11,5,76,21,1
Hawthorn,2023,4,"Impey, Jarman",22,299,120,162,461,20.95,3,4,0,48,62,50,12,51,18,13,0,106,346,6,0,33,16,4
Hawthorn,2023,31,"Macdonald, Connor",21,209,84,154,363,17.29,12,15,0,54,14,54,16,34,13,6,0,112,258,2,9,11,5,8
Hawthorn,2023,25,"Ward, Josh",16,181,76,151,332,20.75,2,3,0,31,31,31,32,32,10,8,0,85,252,1,2,9,1,6
Hawthorn,2023,37,"Weddle, Josh",17,135,87,159,294,17.29,4,0,0,23,38,36,8,34,5,3,1,80,210,7,1,42,27,2
Hawthorn,2023,14,"Scrimshaw, Jack",16,157,85,119,276,17.25,4,1,0,26,45,16,5,33,7,12,0,77,189,11,3,50,27,1
Hawthorn,2023,1,"Morrison, Harry",13,163,69,78,241,18.54,2,2,0,36,30,33,12,38,5,7,0,64,172,0,3,9,2,4
Hawthorn,2023,40,"Mitchell, Seamus",14,131,66,102,233,16.64,0,1,0,25,33,20,1,36,6,7,0,54,170,2,0,22,14,3
Hawthorn,2023,8,"Frost, Sam",18,116,75,114,230,12.78,0,1,11,36,39,8,6,61,5,23,2,96,136,13,3,71,2,0
Hawthorn,2023,22,"Breust, Luke",21,144,77,81,225,10.71,47,23,0,44,2,37,12,54,20,19,1,102,131,12,46,15,1,6
Hawthorn,2023,20,"Wingard, Chad",14,116,59,82,198,14.14,9,8,0,25,6,35,13,35,12,6,0,59,138,1,11,9,6,13
Hawthorn,2023,2,"Lewis, Mitch",15,125,85,67,192,12.8,36,20,5,25,0,30,2,36,9,12,1,70,119,19,40,26,0,10
Hawthorn,2023,28,"Mackenzie, Cam",14,86,26,100,186,13.29,3,6,0,37,6,35,21,30,3,10,0,68,127,1,3,4,5,9
Hawthorn,2023,16,"Bramble, Lachlan",11,120,46,62,182,16.55,1,3,0,14,27,23,8,27,3,2,0,39,129,2,0,9,17,3
Hawthorn,2023,7,"Reeves, Ned",21,70,31,100,170,8.1,2,2,592,57,8,19,51,54,17,25,0,113,62,9,3,54,0,0
Hawthorn,2023,33,"Brockman, Tyler",15,79,50,88,167,11.13,13,8,0,34,4,29,2,25,5,6,0,53,112,1,20,16,8,10
Hawthorn,2023,17,"Meek, Lloyd",16,46,36,108,154,9.63,3,2,288,58,17,12,34,36,14,22,0,96,70,12,3,41,0,4
Hawthorn,2023,9,"Jiath, Changkuoth",8,77,28,59,136,17.0,1,0,0,10,22,14,5,31,6,11,0,40,93,2,0,30,5,2
Hawthorn,2023,32,"Maginness, Finn",13,65,41,69,134,10.31,1,2,0,26,12,15,4,18,3,4,0,34,101,0,3,4,4,2
Hawthorn,2023,23,"Koschitzke, Jacob",12,56,39,47,103,8.58,9,10,27,27,2,9,4,11,14,2,0,60,45,17,22,13,0,3
Hawthorn,2023,36,"Blanck, James",15,50,29,39,89,5.93,0,0,0,23,16,2,2,28,9,17,0,45,49,8,0,84,0,0
Hawthorn,2023,26,"Greene, Fergus",11,56,38,33,89,8.09,15,10,0,10,0,15,2,19,6,7,0,32,59,2,23,18,0,9
Hawthorn,2023,30,"Butler, Sam",8,34,22,49,83,10.38,6,2,0,18,2,10,2,13,6,3,0,35,52,1,0,3,1,5
Hawthorn,2023,24,"Grainger-Barras, Denver",7,25,19,14,39,5.57,4,1,0,3,3,9,0,12,5,7,0,15,23,3,4,11,0,0
Hawthorn,2023,27,"Long, Ned",4,14,6,20,34,8.5,1,1,1,16,2,5,2,5,1,2,0,12,23,0,1,2,1,2
Hawthorn,2023,44,"Hustwaite, Henry",2,10,5,18,28,14.0,2,0,0,8,1,0,3,3,3,1,0,11,17,1,1,2,0,0
Hawthorn,2023,42,"Macdonald, Bailey",2,13,11,12,25,12.5,0,0,0,2,7,1,1,2,1,0,0,4,21,1,0,0,4,0
Hawthorn,2023,29,"Serong, Jai",2,15,8,6,21,10.5,0,0,0,3,2,1,0,2,1,0,0,5,17,0,0,8,0,0
Hawthorn,2023,46,"Ryan, Brandon",3,15,10,3,18,6.0,4,1,0,3,0,4,0,8,1,1,0,5,13,2,4,0,0,0
Hawthorn,2023,38,"Ramsden, Max",2,5,5,9,14,7.0,0,1,14,0,1,2,0,6,1,1,0,7,8,1,2,2,0,0
Hawthorn,2023,18,"Lynch, Max",1,0,0,2,2,2.0,0,0,9,1,0,1,2,0,0,0,0,1,1,0,0,3,0,0
Melbourne,2023,5,"Petracca, Christian",25,351,107,344,695,27.8,28,34,1,99,31,147,149,106,23,22,26,350,351,8,30,13,1,26
Melbourne,2023,7,"Viney, Jack",24,315,73,300,615,25.63,8,5,0,142,21,127,119,115,36,20,24,286,329,4,7,33,7,16
Melbourne,2023,10,"Brayshaw, Angus",24,279,93,269,548,22.83,2,5,0,79,51,69,80,63,19,12,4,201,344,3,2,38,3,10
