Date,Home Team,Away Team,Home Score,Away Score,Venue
Sat 09-Jul-2022,St Kilda,Fremantle,70,111,Docklands
Sat 09-Jul-2022,Port Adelaide,Greater Western Sydney,84,29,Adelaide Oval
Sun 10-Jul-2022,Brisbane Lions,Essendon,90,100,Gabba
Sun 10-Jul-2022,Hawthorn,Adelaide,86,54,Docklands
Sun 10-Jul-2022,West Coast,Carlton,53,116,Perth Stadium
Fri 15-Jul-2022,Western Bulldogs,St Kilda,84,56,Docklands
Sat 16-Jul-2022,Adelaide,Collingwood,86,91,Adelaide Oval
Sat 16-Jul-2022,Greater Western Sydney,Brisbane Lions,59,99,Manuka Oval
Sat 16-Jul-2022,North Melbourne,Richmond,92,88,Docklands
Sat 16-Jul-2022,Carlton,Geelong,55,85,M.C.G.
Sat 16-Jul-2022,Fremantle,Sydney,65,82,Perth Stadium
Sun 17-Jul-2022,Hawthorn,West Coast,102,77,M.C.G.
Sun 17-Jul-2022,Melbourne,Port Adelaide,83,69,Traeger Park
Sun 17-Jul-2022,Essendon,Gold Coast,103,55,Docklands
Fri 22-Jul-2022,Richmond,Fremantle,52,52,Docklands
Sat 23-Jul-2022,Sydney,Adelaide,118,85,S.C.G.
Sat 23-Jul-2022,North Melbourne,Hawthorn,75,121,Bellerive Oval
Sat 23-Jul-2022,Port Adelaide,Geelong,94,106,Adelaide Oval
Sat 23-Jul-2022,Brisbane Lions,Gold Coast,110,93,Gabba
Sat 23-Jul-2022,Western Bulldogs,Melbourne,110,100,Docklands
Sun 24-Jul-2022,Carlton,Greater Western Sydney,90,54,Docklands
Sun 24-Jul-2022,Collingwood,Essendon,80,76,M.C.G.
Sun 24-Jul-2022,West Coast,St Kilda,62,90,Perth Stadium
Fri 29-Jul-2022,Fremantle,Melbourne,39,85,Perth Stadium
Sat 30-Jul-2022,Collingwood,Port Adelaide,88,82,M.C.G.
Sat 30-Jul-2022,Sydney,Greater Western Sydney,112,39,S.C.G.
Sat 30-Jul-2022,St Kilda,Hawthorn,75,63,Docklands
Sat 30-Jul-2022,Geelong,Western Bulldogs,94,66,Kardinia Park
Sat 30-Jul-2022,Adelaide,Carlton,84,55,Adelaide Oval
Sun 31-Jul-2022,Gold Coast,West Coast,107,104,Carrara
Sun 31-Jul-2022,Richmond,Brisbane Lions,104,97,M.C.G.
Sun 31-Jul-2022,Essendon,North Melbourne,114,66,Docklands
Fri 05-Aug-2022,Melbourne,Collingwood,89,96,M.C.G.
Sat 06-Aug-2022,Hawthorn,Gold Coast,70,63,York Park
Sat 06-Aug-2022,Greater Western Sydney,Essendon,96,69,Sydney Showground
Sat 06-Aug-2022,Western Bulldogs,Fremantle,78,95,Docklands
Sat 06-Aug-2022,Geelong,St Kilda,110,65,Kardinia Park
Sat 06-Aug-2022,Port Adelaide,Richmond,71,109,Adelaide Oval
Sun 07-Aug-2022,North Melbourne,Sydney,88,126,Docklands
Sun 07-Aug-2022,Brisbane Lions,Carlton,114,81,Gabba
Sun 07-Aug-2022,West Coast,Adelaide,86,102,Perth Stadium
Fri 12-Aug-2022,St Kilda,Brisbane Lions,66,81,Docklands
Sat 13-Aug-2022,Western Bulldogs,Greater Western Sydney,62,57,Docklands
Sat 13-Aug-2022,Adelaide,North Melbourne,103,74,Adelaide Oval
Sat 13-Aug-2022,Gold Coast,Geelong,59,119,Carrara
Sat 13-Aug-2022,Melbourne,Carlton,79,74,M.C.G.
Sat 13-Aug-2022,Fremantle,West Coast,71,47,Perth Stadium
Sun 14-Aug-2022,Richmond,Hawthorn,128,67,M.C.G.
Sun 14-Aug-2022,Sydney,Collingwood,77,50,S.C.G.
Sun 14-Aug-2022,Essendon,Port Adelaide,62,146,Docklands
Fri 19-Aug-2022,Brisbane Lions,Melbourne,57,115,Gabba
Sat 20-Aug-2022,Greater Western Sydney,Fremantle,69,89,Manuka Oval
Sat 20-Aug-2022,North Melbourne,Gold Coast,47,114,Docklands
Sat 20-Aug-2022,Geelong,West Coast,131,46,Kardinia Park
Sat 20-Aug-2022,Essendon,Richmond,75,141,M.C.G.
Sat 20-Aug-2022,Port Adelaide,Adelaide,111,55,Adelaide Oval
Sun 21-Aug-2022,Hawthorn,Western Bulldogs,64,87,York Park
Sun 21-Aug-2022,Carlton,Collingwood,74,75,M.C.G.
Sun 21-Aug-2022,St Kilda,Sydney,74,88,Docklands
Thu 01-Sep-2022,Brisbane Lions,Richmond,106,104,Gabba
Fri 02-Sep-2022,Melbourne,Sydney,69,91,M.C.G.
Sat 03-Sep-2022,Geelong,Collingwood,78,72,M.C.G.
Sat 03-Sep-2022,Fremantle,Western Bulldogs,73,60,Perth Stadium
Fri 09-Sep-2022,Melbourne,Brisbane Lions,79,92,M.C.G.
Sat 10-Sep-2022,Collingwood,Fremantle,79,59,M.C.G.
Fri 16-Sep-2022,Geelong,Brisbane Lions,120,49,M.C.G.
Sat 17-Sep-2022,Sydney,Collingwood,95,94,S.C.G.
Sat 24-Sep-2022,Geelong,Sydney,133,52,M.C.G.
